"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.470181917E0,2.386190236E-2,-1.235516667E-1,1.117397064E-1,1.682859671E-1
2.480227917E0,2.639462382E-2,-1.058199853E-1,4.432189465E-2,1.177241513E-1
2.490274917E0,1.448384782E-2,-4.111294270E-2,-3.268944383E-2,5.448537090E-2
2.500320917E0,3.494822323E-2,-3.672986984E-2,-9.942020774E-2,1.116012516E-1
2.510367917E0,5.178089529E-2,-3.208718061E-2,-1.362167358E-1,1.492174501E-1
2.520413917E0,3.539495051E-2,1.351759315E-2,-1.804532611E-1,1.843879261E-1
2.530460917E0,9.481844902E-3,8.949748278E-2,-1.544623876E-1,1.787689402E-1
2.540506917E0,1.514194965E-2,8.376370311E-2,-1.195018852E-1,1.467185645E-1
2.550553917E0,-3.446027309E-2,9.434891760E-2,-4.547145724E-2,1.102582518E-1
2.560599917E0,-7.318521291E-2,1.356004393E-1,3.801801145E-2,1.587101878E-1
2.570646917E0,-4.040192127E-2,1.244445366E-1,6.226524532E-2,1.448989948E-1
2.580692917E0,-5.973398566E-2,7.168920279E-2,1.409927416E-1,1.690752614E-1
2.590739917E0,-3.910559356E-2,6.722719252E-2,1.388105607E-1,1.591135275E-1
2.600785917E0,3.989496768E-2,1.289486468E-2,9.924713016E-2,1.077398665E-1
2.610832917E0,1.237083721E-1,2.488808870E-2,3.767185628E-2,1.316903453E-1
2.620878917E0,1.198541799E-1,1.184178114E-2,4.080596387E-2,1.271628048E-1
2.630925917E0,9.951961040E-2,-3.820687652E-2,1.034009922E-1,1.485115600E-1
2.640971917E0,6.939650953E-2,-8.061790109E-2,1.692944348E-1,1.999393087E-1
2.651018917E0,4.314543486E-2,-4.170585036E-2,1.615065283E-1,1.722941240E-1
2.661064917E0,1.325154483E-2,-6.285113633E-2,1.233598781E-1,1.390810134E-1
2.671111917E0,-3.642201394E-2,-9.583820343E-2,1.319424212E-1,1.670937666E-1
2.681157917E0,-4.676573843E-2,-5.721032739E-2,6.531866133E-2,9.862344229E-2
2.691204917E0,-3.540518314E-2,-9.819813967E-3,-2.952726960E-2,4.713613677E-2
2.701250917E0,-5.020974845E-2,6.691845953E-2,-8.937703013E-2,1.224228434E-1
2.711297917E0,-2.609787762E-2,1.461499858E-1,-1.435245860E-1,2.064950952E-1
2.721343917E0,-1.532467514E-2,1.462932426E-1,-8.867302537E-2,1.717540798E-1
2.731390917E0,2.897850841E-2,1.577432603E-1,-2.102483332E-2,1.617551660E-1
2.741436917E0,6.112883896E-2,1.533695430E-1,2.519331336E-2,1.670139356E-1
2.751483917E0,6.922284722E-2,1.416289186E-1,8.493314624E-2,1.790647718E-1
2.761529917E0,9.674539894E-2,1.025817972E-1,1.091423732E-1,1.783108381E-1
2.771576917E0,6.547098130E-2,4.894177973E-2,1.722244745E-1,1.906384453E-1
2.781622917E0,-8.393678069E-4,5.823826790E-4,2.074463475E-1,2.074488631E-1
2.791669917E0,-3.869307250E-2,-3.476052761E-2,2.217427897E-1,2.277615265E-1
2.801715917E0,-5.779914200E-2,-6.080168724E-2,2.381179172E-1,2.524633210E-1
2.811762917E0,4.587725401E-3,-9.086397707E-2,1.776764184E-1,1.996151778E-1
2.821808917E0,7.879824758E-2,-9.242752254E-2,1.186657333E-1,1.698044964E-1
2.831854917E0,1.284235668E-1,-5.746935904E-2,3.822968066E-2,1.457972847E-1
2.841901917E0,1.450314134E-1,-7.647748768E-2,6.802065969E-3,1.641011429E-1
2.851947917E0,1.517326149E-1,-7.397429466E-2,-3.298999071E-2,1.719980296E-1
2.861994917E0,1.133751726E-1,-5.426859319E-2,-5.316405416E-2,1.364750037E-1
2.872040917E0,5.583447754E-2,-5.527548373E-2,2.023136616E-3,7.859364520E-2
2.882087917E0,1.524573773E-2,-8.381165028E-2,5.661215723E-2,1.022827531E-1
2.892133917E0,-1.524749190E-2,-6.128700614E-2,7.151963353E-2,9.541300284E-2
2.902180917E0,-2.437791914E-2,-9.940266609E-4,3.008860230E-2,3.873751436E-2
2.912226917E0,-4.377371818E-2,5.008491039E-2,-1.664468408E-2,6.856881332E-2
2.922273917E0,-5.897209346E-2,9.111306846E-2,-4.539485872E-2,1.176434964E-1
2.932319917E0,-2.759973496E-2,1.221401489E-1,-8.061439276E-2,1.489249531E-1
2.942366917E0,-6.845335364E-3,1.312477720E-1,-1.311904693E-1,1.856980762E-1
2.952412917E0,-1.648476387E-2,1.480152476E-1,-1.277680939E-1,1.962267739E-1
2.962459917E0,-5.485214531E-2,1.471609694E-1,-1.224722707E-1,1.991596492E-1
2.972505917E0,-8.503576487E-2,1.947163743E-1,-1.515422881E-1,2.609801004E-1
2.982552917E0,-8.199375093E-2,2.104167330E-1,-1.321412265E-1,2.616476265E-1
2.992598917E0,-7.773054600E-2,1.526427341E-1,-4.479668856E-2,1.770553172E-1
3.002645917E0,-1.593600154E-2,1.242392993E-1,-1.285919666E-2,1.259155216E-1
3.012691917E0,4.823280483E-2,6.664130151E-2,-8.588975072E-3,8.271177076E-2
3.022738917E0,4.786676913E-2,7.610969782E-2,3.325896263E-2,9.586486470E-2
3.032784917E0,3.795515388E-2,5.488664389E-2,5.925217509E-2,8.924100872E-2
